,time,username,content,逆天弹幕
1,2022/5/19 20:52,水母的梦,向晚学姐请和我结婚,0
2,2022/5/19 20:52,凌霄剑侠,芜芜,0
3,2022/5/19 20:52,你付出八点多,可爱,0
5,2022/5/19 20:52,五月雨vv,好耶,0
6,2022/5/19 20:52,你的梦想实现了吧,0,0
7,2022/5/19 20:52,萌萌哒嘉心糖,mua,0
8,2022/5/19 20:52,尼禄__,向晚学姐请和我结婚！,0
9,2022/5/19 20:52,彩色的画,mua,0
10,2022/5/19 20:52,Alexandrite_Ivy,芜芜,0
12,2022/5/19 20:52,神兔小G,呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜,0
13,2022/5/19 20:52,一颗嘉心糖呀,爹  晚安爹  晚安爹  晚安爹  晚安,0
15,2022/5/19 20:52,袖手的叶子,先反a十分钟,0
16,2022/5/19 20:52,海绵宝宝毒唯儿,我要和向晚结婚！我要和向晚结婚！,0
17,2022/5/19 20:52,燃烧yourdream,晚晚可爱捏,0
19,2022/5/19 20:52,苍月星璇,晚晚带我走吧没有你我咋活啊,0
21,2022/5/19 20:52,干练小哥,晚晚可爱捏,0
22,2022/5/19 20:52,量子少年-晚晚菌,我要和向晚结婚！我要和向晚结婚！,0
23,2022/5/19 20:52,贝拉的好老公,好好好好好好好好好好好好好好好好好好好,0
24,2022/5/19 20:52,Christina17,哼,0
26,2022/5/19 20:52,果丹皮霜月花,哦哦,0
27,2022/5/19 20:52,宏观量子态,芜芜 芜芜,0
29,2022/5/19 20:52,单推粒粒,\向晚/\向晚/\向晚/\向晚/\向晚,0
30,2022/5/19 20:52,凌霄剑侠,啾啾,0
31,2022/5/19 20:52,光崽崽崽崽呀,芜芜,0
32,2022/5/19 20:52,小小佥事,下一站乃宝,0
33,2022/5/19 20:52,月影凝霜晚,晚安吻呢晚安吻呢晚安吻呢,0
34,2022/5/19 20:52,枝江一级保护树木,可爱可爱可爱,0
35,2022/5/19 20:52,Polaris-0717,晚安晚晚,0
36,2022/5/19 20:52,北凉贝极星,下一站，乃宝,0
37,2022/5/19 20:52,尼禄__,晚晚可爱捏！！！,0
38,2022/5/19 20:52,__oumuamua__,我要和向晚结婚啊啊啊啊啊,0
39,2022/5/19 20:52,成步堂咲川,可爱捏,0
40,2022/5/19 20:52,煎饼狗子-__-,UID：177985180有人能联系他吗,0
41,2022/5/19 20:52,量子少年一向晚,向晚最强！向晚最强！向晚最强！向晚最强！,0
44,2022/5/19 20:52,燃烧yourdream,晚晚可爱捏,0
46,2022/5/19 20:52,在我眼中我是谁,打call,0
47,2022/5/19 20:52,一般了不起的派大星,下一站，老婆,0
49,2022/5/19 20:52,向晚の碗,芜芜,0
50,2022/5/19 20:52,贝拉的好老公,好好好好好好好好好好好好好好好好好好好,0
51,2022/5/19 20:52,蓝色CuSO4,芜芜,0
52,2022/5/19 20:52,啵啵叁叁x,芜芜A,0
53,2022/5/19 20:52,初笠ミカサ,子龙大概或许已经寄了,0
54,2022/5/19 20:52,米其林星级大厨猛犸,类目,0
55,2022/5/19 20:52,袖手的叶子,先反a十分钟,0
56,2022/5/19 20:52,单推粒粒,\向晚/\向晚/\向晚/\向晚/\向晚,0
57,2022/5/19 20:52,美德,下一站,0
58,2022/5/19 20:52,聆雪听风,下一站，无限乱斗,0
59,2022/5/19 20:52,Anberlia,子龙救一下,0
61,2022/5/19 20:52,芜湖大向晚丶,好好好好好好好好好,0
63,2022/5/19 20:52,水母的梦,向晚学姐请和我结婚,0
64,2022/5/19 20:52,GNK48-BK0717-晚泡面,晚晚可爱捏可爱捏,0
65,2022/5/19 20:52,量子少年-晚晚菌,我要和向晚结婚！我要和向晚结婚！,0
66,2022/5/19 20:52,水母长呆毛,芜芜,0
68,2022/5/19 20:52,尼禄__,大晚小晚小小晚可爱捏！,0
69,2022/5/19 20:52,余晖向晚_,噢噢,0
70,2022/5/19 20:52,早点火锅店,芜芜~,0
71,2022/5/19 20:52,海绵宝宝毒唯儿,我要和向晚结婚！我要和向晚结婚！,0
72,2022/5/19 20:52,La-Grande,boiboi,0
73,2022/5/19 20:52,Auroraほし,芜芜,0
75,2022/5/19 20:52,兔须,芜芜～,0
76,2022/5/19 20:52,吞烟,一点寒芒先到！,0
77,2022/5/19 20:52,啵啵狗子w,我直播呢？,0
80,2022/5/19 20:52,你付出八点多,可爱,0
81,2022/5/19 20:52,贝拉的好老公,好好好好好好好好好好好好好好好好好好好,0
83,2022/5/19 20:52,单推粒粒,\向晚/\向晚/\向晚/\向晚/\向晚,0
84,2022/5/19 20:52,凌霄剑侠,啾啾 芜芜,0
85,2022/5/19 20:52,楠极星Kira,啾啾,0
87,2022/5/19 20:52,激萌小乃琳,陪我一起说话,0
88,2022/5/19 20:52,反反复复吃键盘,我要和向晚结婚！,0
90,2022/5/19 20:52,GNK48-BK0717-晚泡面,晚晚可爱捏可爱捏,0
91,2022/5/19 20:52,煎饼狗子-__-,UID：177985180有人能联系他吗,0
92,2022/5/19 20:52,账号已注销220,子龙！子龙！,0
93,2022/5/19 20:52,尼禄__,向晚学姐请和我结婚！,0
94,2022/5/19 20:52,路过的奶淇琳,晚美无瑕,0
95,2022/5/19 20:52,Tiffany-Sue,下一站，老婆,0
96,2022/5/19 20:52,傲娇起来连我自己都怕,我要和晚晚结婚！！！我要和晚晚结婚！！,0
97,2022/5/19 20:52,嘉拉克苏斯大王,拜拜，暗示下播,0
99,2022/5/19 20:52,刀柚_,芜芜,0
100,2022/5/19 20:52,花揪果,可以做个俯卧撑吗,1
101,2022/5/19 20:52,小粒发光发亮,晚晚 可!爱捏,0
102,2022/5/19 20:52,海绵宝宝毒唯儿,我要和向晚结婚！我要和向晚结婚！,0
103,2022/5/19 20:52,量子少年-晚晚菌,我要和向晚结婚！我要和向晚结婚！,0
104,2022/5/19 20:52,激萌小乃琳,陪我一起玩耍,0
105,2022/5/19 20:52,橙子Arcohyp,我要和向晚结婚！,0
106,2022/5/19 20:52,反反复复吃键盘,我要和向晚结婚！我要和向晚结婚！,0
107,2022/5/19 20:52,成步堂咲川,洗个澡先,0
108,2022/5/19 20:52,嵐暮诗,芜芜,0
112,2022/5/19 20:52,我没有吃过亏,芜芜,0
113,2022/5/19 20:52,深夜的伤,我要和晚晚结婚啊啊啊啊啊啊发癫,0
115,2022/5/19 20:52,贝拉的好老公,好好好好好好好好好好好好好好好好好好好,0
116,2022/5/19 20:52,偷喵的禄,晚安明天见晚晚,0
